num,category,method_name,description,output_pattern
1,collaboration,Stakeholder Round Table,Multiple personas contribute diverse perspectives — essential for balanced requirements and solutions,perspectives → synthesis → alignment
2,collaboration,Debate Club,Two opposing positions with a moderator scoring them — great for controversial decisions and finding middle ground,thesis → antithesis → synthesis
3,collaboration,Cross-Functional War Room,PM + engineer + designer attack the problem together — reveals feasibility/desirability/viability trade-offs,constraints → trade-offs → balanced solution
4,collaboration,User Persona Focus Group,Product personas react to proposals and share frustrations — validates features and uncovers unmet needs,reactions → concerns → priorities
5,advanced,Tree of Thoughts,Explore multiple reasoning paths simultaneously and select the best — perfect for complex problems with multiple valid approaches,paths → evaluation → selection
6,advanced,Self-Consistency Validation,Generate multiple independent approaches and compare for consistency — crucial for high-impact decisions,approaches → comparison → consensus
7,competitive,Red Team vs Blue Team,Adversarial attack-defense analysis to find vulnerabilities — critical for security testing and robust solutions,defense → attack → hardening
8,competitive,Shark Tank Pitch,Pitcher vs skeptical investors who poke holes — viability stress-test and forces clarity in the value proposition,pitch → challenges → refinement
9,technical,Architecture Decision Records,Architects propose and debate choices with explicit trade-offs — ensures well-grounded and documented decisions,options → trade-offs → decision → rationale
10,technical,Security Audit Personas,Hacker + defender + auditor examine the system from different threat models — complete security review,vulnerabilities → defenses → compliance
11,technical,Performance Profiler Panel,DBA + frontend specialist + DevOps diagnose slowness — finds full-stack bottlenecks,symptoms → analysis → optimizations
12,creative,SCAMPER Method,7 creativity lenses: Substitute/Combine/Adapt/Modify/Put-to-other-use/Eliminate/Reverse — systematic ideation,S→C→A→M→P→E→R
13,creative,Reverse Engineering,Work backwards from the desired result to find the implementation path,end state → steps backward → path forward
14,creative,What If Scenarios,Explore alternative realities to understand possibilities and implications — contingency planning,scenarios → implications → insights
15,research,Comparative Analysis Matrix,Evaluate options against weighted criteria with explicit scoring — structured decision,options → criteria → scores → recommendation
16,risk,Pre-mortem Analysis,Imagine a future failure and work backwards to prevent it — powerful for risk mitigation,failure scenario → causes → prevention
17,risk,Failure Mode Analysis,Systematically explore how each component can fail — reliability and safety,components → failures → prevention
18,risk,Chaos Monkey Scenarios,Deliberately break things to test resilience and recovery — robustness validation,break → observe → harden
19,risk,Challenge from Critical Perspective,Devil's advocate to stress-test ideas and find weaknesses — overcomes groupthink,assumptions → challenges → strengthening
20,risk,Identify Potential Risks,Brainstorm what could go wrong across all categories — fundamental for planning,categories → risks → mitigations
21,core,First Principles Analysis,Eliminate assumptions and rebuild from fundamental truths — breakthrough for impossible problems,assumptions → truths → new approach
22,core,5 Whys Deep Dive,Ask why repeatedly until the root cause — simple but powerful,why chain → root cause → solution
23,core,Socratic Questioning,Directed questions to reveal hidden assumptions and guide discovery,questions → revelations → understanding
24,core,Critique and Refine,Systematic review of strengths and weaknesses with iterative improvement,strengths/weaknesses → improvements → refined
25,core,Expand or Contract for Audience,Adjust the level of detail and technical depth for the target audience,audience → adjustments → refined content
